rank	new	cum	flags	lvos	archive	binary
1	26	26	H-D	26	DayDreamBBS.lha	DayDream/Serv/ftpd
2	8	34	HR-	20	MiamiDx10cmain.lha	MiamiDx10_Install/main/MiamiDx
3	6	40	-RD	12	AmiTCP-bin-22.lha	AmiTCP-2.2/bin/route
4	4	44	-RD	21	amigg.lha	AmiGG/AmiGG_m68k
5	3	47	--D	25	AmigaTText-m68k-amigaos.lha	OS3/AmigaTText/AmigaTText_OS3
6	2	49	--D	16	MiamiDx10cmain.lha	MiamiDx10_Install/main/MiamiNSLookup
7	2	51	---	5	AutoTCP.lha	AutoTCP/AutoTCP
8	1	52	H-D	16	cnet5demo.lha	cnet/bbs
9	1	53	--D	17	netsurf_os3.lha	NetSurf/NetSurf
10	1	54	--D	21	EasySocketDev.lha	EasySocket/Libs/EasySocket.library
11	1	55	--D	20	binkd_1.1a-115.lha	binkd
12	1	56	H--	18	adig.lha	adig/ahost-68000

# 918 attributed binaries cover 56 of 143 vectors (39%); 12 of them are non-redundant.
