offset	bsdsocket	n_other	others
-30	socket	61	fuelgauge:FUELGAUGE_GetClass,realtime:LockRealTime,utility:FindTagItem,bevel:BEVEL_GetClass,dos:Open,keymap:SetKeyMapDefault
-36	bind	37	realtime:UnlockRealTime,utility:GetTagData,dos:Close,keymap:AskKeyMapDefault,amigaguide:LockAmigaGuideBase,layers:CreateUpfrontLayer
-42	listen	38	realtime:CreatePlayerA,utility:PackBoolTags,dos:Read,keymap:MapRawKey,trackfile:TFStartUnitTagList,timer:AddTime
-48	accept	37	realtime:DeletePlayer,utility:NextTagItem,dos:Write,keymap:MapANSI,trackfile:TFStopUnitTagList,timer:SubTime
-54	connect	35	realtime:SetPlayerAttrsA,utility:FilterTagChanges,dos:Input,trackfile:TFInsertMediaTagList,timer:CmpTime,amigaguide:OpenAmigaGuideA
-60	sendto	30	realtime:SetConductorState,utility:MapTags,dos:Output,trackfile:TFEjectMediaTagList,timer:ReadEClock,amigaguide:OpenAmigaGuideAsyncA
-66	send	29	realtime:ExternalSync,utility:AllocateTagItems,dos:Seek,trackfile:TFGetUnitData,timer:GetSysTime,amigaguide:CloseAmigaGuide
-72	recvfrom	28	realtime:NextConductor,utility:CloneTagItems,dos:DeleteFile,trackfile:TFFreeUnitData,amigaguide:AmigaGuideSignal,layers:ScrollLayer
-78	recv	28	realtime:FindConductor,utility:FreeTagItems,dos:Rename,trackfile:TFChangeUnitTagList,amigaguide:GetAmigaGuideMsg,layers:BeginUpdate
-84	shutdown	27	realtime:GetPlayerAttrsA,utility:RefreshTagItemClones,dos:Lock,trackfile:TFExamineFileSize,amigaguide:ReplyAmigaGuideMsg,layers:EndUpdate
-90	setsockopt	25	utility:TagInArray,dos:UnLock,amigaguide:SetAmigaGuideContextA,layers:DeleteLayer,wb:WBInfo,mathieeedoubbas:IEEEDPFloor
-96	getsockopt	24	utility:FilterTagItems,dos:DupLock,amigaguide:SendAmigaGuideContextA,layers:LockLayer,wb:OpenWorkbenchObjectA,mathieeedoubbas:IEEEDPCeil
-102	getsockname	22	utility:CallHookPkt,dos:Examine,amigaguide:SendAmigaGuideCmdA,layers:UnlockLayer,wb:CloseWorkbenchObjectA,icon:MatchToolValue
-108	getpeername	19	dos:ExNext,amigaguide:SetAmigaGuideAttrsA,layers:LockLayers,wb:WorkbenchControlA,icon:BumpRevision,graphics:DoCollision
-114	IoctlSocket	20	dos:Info,amigaguide:GetAmigaGuideAttr,layers:UnlockLayers,wb:AddAppWindowDropZoneA,icon:FreeAlloc,graphics:DrawGList
-120	CloseSocket	18	utility:Amiga2Date,dos:CreateDir,layers:LockLayerInfo,wb:RemoveAppWindowDropZone,icon:GetDefDiskObject,graphics:InitGels
-126	WaitSelect	19	utility:Date2Amiga,dos:CurrentDir,amigaguide:LoadXRef,layers:SwapBitsRastPortClipRect,wb:ChangeWorkbenchSelectionA,icon:PutDefDiskObject
-132	SetSocketSignals	16	utility:CheckDate,dos:IoErr,amigaguide:ExpungeXRef,layers:WhichLayer,wb:MakeWorkbenchObjectVisibleA,icon:GetDiskObjectNew
-138	getdtablesize	16	utility:SMult32,dos:CreateProc,amigaguide:AddAmigaGuideHostA,layers:UnlockLayerInfo,wb:WhichWorkbenchObjectA,icon:DeleteDiskObject
-144	ObtainSocket	14	utility:UMult32,dos:Exit,amigaguide:RemoveAmigaGuideHostA,layers:NewLayerInfo,icon:FreeFree,rexxsyslib:CreateRexxMsg
-150	ReleaseSocket	12	utility:SDivMod32,dos:LoadSeg,layers:DisposeLayerInfo,icon:DupDiskObjectA,rexxsyslib:DeleteRexxMsg,graphics:SortGList
-156	ReleaseCopyOfSocket	11	utility:UDivMod32,dos:UnLoadSeg,layers:FattenLayerInfo,icon:IconControlA,rexxsyslib:ClearRexxMsg,graphics:AddAnimOb
-162	Errno	10	utility:Stricmp,layers:ThinLayerInfo,icon:DrawIconStateA,rexxsyslib:FillRexxMsg,graphics:Animate,locale:ParseDate
