offset	lvo	callers	programs	archive	binary
-378	bpf_read	1	1	tcpautostart.lha	tcpautostart
-414	AddRouteTagList	1	1	tcpautostart.lha	tcpautostart
-492	AbortInterfaceConfig	1	1	MiamiDx10cmain.lha	MiamiDx10_Install/main/Libs/miamisecureshell.library
-498	AddNetMonitorHookTagList	1	1	atalk_V1.lha	Atalkd
-588	getservent	1	1	apartee-0.8.1.lha	Apartee/Apartee
-594	inet_aton	1	1	netsurf_os3.lha	NetSurf/NetSurf
-612	In_LocalAddr	1	1	apartee-0.8.1.lha	Apartee/Apartee
-684	mbuf_pullup	1	1	tcpautostart.lha	tcpautostart
-792	ipf_set_notify_mask	1	1	FTPMount_upd.lha	FTPMount_upd/FTPMount-Handler.debug
-816	gai_strerror	1	1	AntiSpam2.lha	AntiSpam2/EmailCheck
-822	getnameinfo	1	1	binkd_1.1a-115.lha	binkd
-882	if_nametoindex	1	1	nntpsend.lha	nntpsend
-894	if_nameindex	1	1	BenderIRC.lha	BenderIRC/BenderIRC
-900	if_freenameindex	1	1	cim.lha	cim
-276	recvmsg	2	2	MiamiDx10cmain.lha	MiamiDx10_Install/main/MiamiDx
-276	recvmsg	2	2	MiamiDx10cmain.lha	MiamiDx10_Install/main/MiamiIPNatD
-366	bpf_open	2	2	MiamiDx10cmain.lha	MiamiDx10_Install/main/Libs/miamiipnat.library
-366	bpf_open	2	2	apartee-0.8.1.lha	Apartee/Apartee
-606	inet_pton	2	2	BenderIRC.lha	BenderIRC/BenderIRC
-606	inet_pton	2	2	apartee-0.8.1.lha	Apartee/Apartee
-552	getnetent	3	2	DayDreamBBS.lha	DayDream/Serv/ftpd
-552	getnetent	3	2	ddbbs130b4.lha	DayDream/Serv/ftpd
-552	getnetent	3	2	tcpautostart.lha	tcpautostart
-744	gethostbyaddr_r	3	3	cim.lha	cim
-744	gethostbyaddr_r	3	3	cim.lha	icmprelay
-744	gethostbyaddr_r	3	3	yaircc.lha	yaircc/yaircc
-300	GetSocketEvents	5	5	AMIGIFT-2.1.lha	AMIGIFT-2.1/GiFTMui
-300	GetSocketEvents	5	5	BenderIRC.lha	BenderIRC/BenderDCCGet
-300	GetSocketEvents	5	5	EasySocketDev.lha	EasySocket/Libs/EasySocket.library
-300	GetSocketEvents	5	5	gegAIM.lha	gegAIM/gegAIM
-300	GetSocketEvents	5	5	lanclip.lha	LANClip/lanclip
-252	getprotobynumber	6	5	Miami32b2-main.lha	Miami32b_Install/main/MiamiNetStat
-252	getprotobynumber	6	5	MiamiDx10cmain.lha	MiamiDx10_Install/main/MiamiHost
-252	getprotobynumber	6	5	MiamiDx10cmain.lha	MiamiDx10_Install/main/MiamiIPFW
-252	getprotobynumber	6	5	MiamiDx10cmain.lha	MiamiDx10_Install/main/MiamiNSLookup
-252	getprotobynumber	6	5	MiamiDx10cmain.lha	MiamiDx10_Install/main/MiamiNetStat
-252	getprotobynumber	6	5	tcpautostart.lha	tcpautostart
-408	bpf_data_waiting	6	6	BenderIRC.lha	BenderIRC/plugins/ColorLogWriter
-408	bpf_data_waiting	6	6	BenderIRC.lha	BenderIRC/plugins/ColorLogWriter.plugin
-408	bpf_data_waiting	6	6	BenderIRC.lha	BenderIRC/plugins/LogWriter
-408	bpf_data_waiting	6	6	BenderIRC.lha	BenderIRC/plugins/LogWriter.plugin
-408	bpf_data_waiting	6	6	BenderIRC.lha	BenderIRC/plugins/html.plugin
-408	bpf_data_waiting	6	6	getnglist.lha	getnglist
-396	bpf_set_interrupt_mask	7	7	BenderIRC.lha	BenderIRC/plugins/ColorLogWriter
-396	bpf_set_interrupt_mask	7	7	BenderIRC.lha	BenderIRC/plugins/ColorLogWriter.plugin
-396	bpf_set_interrupt_mask	7	7	BenderIRC.lha	BenderIRC/plugins/LogWriter
-396	bpf_set_interrupt_mask	7	7	BenderIRC.lha	BenderIRC/plugins/LogWriter.plugin
-396	bpf_set_interrupt_mask	7	7	BenderIRC.lha	BenderIRC/plugins/html.plugin
-396	bpf_set_interrupt_mask	7	7	getnglist.lha	getnglist
-396	bpf_set_interrupt_mask	7	7	tcpautostart.lha	tcpautostart
-384	bpf_write	8	5	AmiHomeassist-0.6.lha	AmiHomeassist/AmiHomeassist
-384	bpf_write	8	5	AmiHomeassist-0.6.lha	AmiHomeassist/AmiHomeassistCLI
-384	bpf_write	8	5	RSSTicker.lha	RSSTicker/RSSTicker
-384	bpf_write	8	5	amimatters.lha	AmiMatters/Files/68000/AmiMatters
-384	bpf_write	8	5	amimatters.lha	AmiMatters/Files/68020/AmiMatters
-384	bpf_write	8	5	amimatters.lha	AmiMatters/Files/68040/AmiMatters
-384	bpf_write	8	5	amimatters.lha	AmiMatters/Files/68060/AmiMatters
-384	bpf_write	8	5	tcpautostart.lha	tcpautostart
-228	getnetbyaddr	9	4	AmiTCP-demo-40.lha	AmiTCP-4.0/bin/route
-228	getnetbyaddr	9	4	FENStarter.lha	AmiTCP-4.0/bin/route
-228	getnetbyaddr	9	4	GG-Lite-net-m68k.lha	GG-Lite-1.0-net-m68k/GG/bin/route
-228	getnetbyaddr	9	4	Miami32b2-main.lha	Miami32b_Install/main/MiamiNetStat
-228	getnetbyaddr	9	4	Miami32b2-main.lha	Miami32b_Install/main/MiamiRoute
-228	getnetbyaddr	9	4	MiamiDx10cmain.lha	MiamiDx10_Install/main/MiamiNetStat
-228	getnetbyaddr	9	4	MiamiDx10cmain.lha	MiamiDx10_Install/main/MiamiRoute
-228	getnetbyaddr	9	4	NNTPd_12.lha	NNTPd_1.2/serv/NNTPd
-228	getnetbyaddr	9	4	gendemo104.lha	Genesis/bin/route
-270	sendmsg	9	5	AmiTCP-demo-40.lha	AmiTCP-4.0/bin/ch_nfsc
-270	sendmsg	9	5	FENStarter.lha	AmiTCP-4.0/bin/ch_nfsc
-270	sendmsg	9	5	GG-Lite-net-m68k.lha	GG-Lite-1.0-net-m68k/GG/bin/ch_nfsc
-270	sendmsg	9	5	MiamiDx10cmain.lha	MiamiDx10_Install/main/MiamiDx
-270	sendmsg	9	5	MiamiDx10cmain.lha	MiamiDx10_Install/main/MiamiIPNatD
-270	sendmsg	9	5	MiamiDx10cmain.lha	MiamiDx10_Install/main/MiamiNSLookup
-270	sendmsg	9	5	chnfsc102-30b2.lha	chnfsc_1.02BETA/bin/ch_nfsc
-270	sendmsg	9	5	gendemo104.lha	Genesis/bin/ch_nfsc
-270	sendmsg	9	5	u9fs.lha	u9fs/u9fs
-372	bpf_close	9	6	AmiHomeassist-0.6.lha	AmiHomeassist/AmiHomeassist
-372	bpf_close	9	6	AmiHomeassist-0.6.lha	AmiHomeassist/AmiHomeassistCLI
-372	bpf_close	9	6	MiamiDx10cmain.lha	MiamiDx10_Install/main/Libs/miamiipnat.library
-372	bpf_close	9	6	RSSTicker.lha	RSSTicker/RSSTicker
-372	bpf_close	9	6	amimatters.lha	AmiMatters/Files/68000/AmiMatters
-372	bpf_close	9	6	amimatters.lha	AmiMatters/Files/68020/AmiMatters
-372	bpf_close	9	6	amimatters.lha	AmiMatters/Files/68040/AmiMatters
-372	bpf_close	9	6	amimatters.lha	AmiMatters/Files/68060/AmiMatters
-372	bpf_close	9	6	tcpautostart.lha	tcpautostart
