offset	dec	index	name	impl
-30	-30	4	socket	bsd_socket
-36	-36	5	bind	bsd_bind
-42	-42	6	listen	bsd_listen
-48	-48	7	accept	bsd_accept
-54	-54	8	connect	bsd_connect
-60	-60	9	sendto	bsd_sendto
-66	-66	10	send	bsd_send
-72	-72	11	recvfrom	bsd_recvfrom
-78	-78	12	recv	bsd_recv
-84	-84	13	shutdown	bsd_shutdown
-90	-90	14	setsockopt	bsd_setsockopt
-96	-96	15	getsockopt	bsd_getsockopt
-102	-102	16	getsockname	bsd_getsockname
-108	-108	17	getpeername	bsd_getpeername
-114	-114	18	IoctlSocket	bsd_IoctlSocket
-120	-120	19	CloseSocket	bsd_CloseSocket
-126	-126	20	WaitSelect	bsd_WaitSelect
-132	-132	21	SetSocketSignals	bsd_SetSocketSignals
-138	-138	22	getdtablesize	bsd_getdtablesize
-144	-144	23	ObtainSocket	bsd_ObtainSocket
-150	-150	24	ReleaseSocket	bsd_ReleaseSocket
-156	-156	25	ReleaseCopyOfSocket	bsd_ReleaseCopyOfSocket
-162	-162	26	Errno	bsd_Errno
-168	-168	27	SetErrnoPtr	bsd_SetErrnoPtr
-174	-174	28	Inet_NtoA	bsd_Inet_NtoA
-180	-180	29	inet_addr	bsd_inet_addr
-186	-186	30	Inet_LnaOf	bsd_Inet_LnaOf
-192	-192	31	Inet_NetOf	bsd_Inet_NetOf
-198	-198	32	Inet_MakeAddr	bsd_Inet_MakeAddr
-204	-204	33	inet_network	bsd_inet_network
-210	-210	34	gethostbyname	bsd_gethostbyname
-216	-216	35	gethostbyaddr	bsd_gethostbyaddr
-222	-222	36	getnetbyname	bsd_getnetbyname
-228	-228	37	getnetbyaddr	bsd_getnetbyaddr
-234	-234	38	getservbyname	bsd_getservbyname
-240	-240	39	getservbyport	bsd_getservbyport
-246	-246	40	getprotobyname	bsd_getprotobyname
-252	-252	41	getprotobynumber	bsd_getprotobynumber
-258	-258	42	vsyslog	bsd_vsyslog
-264	-264	43	Dup2Socket	bsd_Dup2Socket
-270	-270	44	sendmsg	bsd_sendmsg
-276	-276	45	recvmsg	bsd_recvmsg
-282	-282	46	gethostname	bsd_gethostname
-288	-288	47	gethostid	bsd_gethostid
-294	-294	48	SocketBaseTagList	bsd_SocketBaseTagList
-300	-300	49	GetSocketEvents	bsd_GetSocketEvents
-306	-306	50	reserved	bsd_enosys
-312	-312	51	reserved	bsd_enosys
-318	-318	52	reserved	bsd_enosys
-324	-324	53	reserved	bsd_enosys
-330	-330	54	reserved	bsd_enosys
-336	-336	55	reserved	bsd_enosys
-342	-342	56	reserved	bsd_enosys
-348	-348	57	reserved	bsd_enosys
-354	-354	58	reserved	bsd_enosys
-360	-360	59	reserved	bsd_enosys
-366	-366	60	bpf_open	bsd_bpf_open
-372	-372	61	bpf_close	bsd_bpf_close
-378	-378	62	bpf_read	bsd_bpf_read
-384	-384	63	bpf_write	bsd_bpf_write
-390	-390	64	bpf_set_notify_mask	bsd_bpf_set_notify_mask
-396	-396	65	bpf_set_interrupt_mask	bsd_bpf_set_interrupt_mask
-402	-402	66	bpf_ioctl	bsd_bpf_ioctl
-408	-408	67	bpf_data_waiting	bsd_bpf_data_waiting
-414	-414	68	AddRouteTagList	bsd_AddRouteTagList
-420	-420	69	DeleteRouteTagList	bsd_DeleteRouteTagList
-426	-426	70	ChangeRouteTagList	bsd_ChangeRouteTagList
-432	-432	71	FreeRouteInfo	bsd_FreeRouteInfo
-438	-438	72	GetRouteInfo	bsd_GetRouteInfo
-444	-444	73	AddInterfaceTagList	bsd_AddInterfaceTagList
-450	-450	74	ConfigureInterfaceTagList	bsd_ConfigureInterfaceTagList
-456	-456	75	ReleaseInterfaceList	bsd_ReleaseInterfaceList
-462	-462	76	ObtainInterfaceList	bsd_ObtainInterfaceList
-468	-468	77	QueryInterfaceTagList	bsd_QueryInterfaceTagList
-474	-474	78	CreateAddrAllocMessageA	bsd_CreateAddrAllocMessageA
-480	-480	79	DeleteAddrAllocMessage	bsd_DeleteAddrAllocMessage
-486	-486	80	BeginInterfaceConfig	bsd_BeginInterfaceConfig
-492	-492	81	AbortInterfaceConfig	bsd_AbortInterfaceConfig
-498	-498	82	AddNetMonitorHookTagList	bsd_AddNetMonitorHookTagList
-504	-504	83	RemoveNetMonitorHook	bsd_RemoveNetMonitorHook
-510	-510	84	GetNetworkStatistics	bsd_GetNetworkStatistics
-516	-516	85	AddDomainNameServer	bsd_AddDomainNameServer
-522	-522	86	RemoveDomainNameServer	bsd_RemoveDomainNameServer
-528	-528	87	ReleaseDomainNameServerList	bsd_ReleaseDomainNameServerList
-534	-534	88	ObtainDomainNameServerList	bsd_ObtainDomainNameServerList
-540	-540	89	setnetent	bsd_setnetent
-546	-546	90	endnetent	bsd_endnetent
-552	-552	91	getnetent	bsd_getnetent
-558	-558	92	setprotoent	bsd_setprotoent
-564	-564	93	endprotoent	bsd_endprotoent
-570	-570	94	getprotoent	bsd_getprotoent
-576	-576	95	setservent	bsd_setservent
-582	-582	96	endservent	bsd_endservent
-588	-588	97	getservent	bsd_getservent
-594	-594	98	inet_aton	bsd_inet_aton
-600	-600	99	inet_ntop	bsd_inet_ntop
-606	-606	100	inet_pton	bsd_inet_pton
-612	-612	101	In_LocalAddr	bsd_In_LocalAddr
-618	-618	102	In_CanForward	bsd_In_CanForward
-624	-624	103	mbuf_copym	bsd_enosys_ptr
-630	-630	104	mbuf_copyback	bsd_enosys
-636	-636	105	mbuf_copydata	bsd_enosys
-642	-642	106	mbuf_free	bsd_enosys_ptr
-648	-648	107	mbuf_freem	bsd_enosys
-654	-654	108	mbuf_get	bsd_enosys_ptr
-660	-660	109	mbuf_gethdr	bsd_enosys_ptr
-666	-666	110	mbuf_prepend	bsd_enosys_ptr
