archive	file	verdict	distinct	calls	lvos	scanner	path	sha256
1liner11.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/bbs/1liner11.lha	c66148b6502d5724a8538e9b600656c2ef41428e95aeca86fba13f682e4052c7
1ooTextract.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/bbs/1ooTextract.lha	35ec55199a45f694b36fcedc4f98a9963ea305931703272dfdcd73b338b9dcd8
ABBSBull3.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/bbs/ABBSBull3.lha	0560a8ab5f304dc481afbe8225706eaad306b201c378c6e07753c11c0fff7524
ACS-Notify.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/net/ACS-Notify.lha	1a3b2fcb43669902d34f2ae5b07a613339779205858354bea3a8d4b8d3f62f79
ACS_HLPlugin.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/net/ACS_HLPlugin.lha	45792f84f732421c33fcce57ec972624ab8bce4034b184ce4acd19be067c287c
ACas.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/misc/ACas.lha	ee4ae869f35e6a47e04560065c9c719f70faf7ddd645ff09c3fe832ee5f784bc
AIP.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/tcp/AIP.lha	5c3ca59c9051b40800d3f1d61a81f019052b3a1a95e64ba3d9530c52553071ce
AImonc.lha	AImonc/AImonc	NO_SOCKETBASE_STORE opens=2	distinct=0	calls=0		scanner=7	comm/tcp/AImonc.lha	c77b2dc27fc64abbd96220e21cdef787220f5ec9d5a9133682ac8440fd630692
ALC-RCFX.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/bbs/ALC-RCFX.lha	914faf65cccb619408da05bdc018b751fa2808e16c90508349709442b1b461c6
AList.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/mail/AList.lha	3b1641096ed0d4d11d272c48669541898f16052435937cb7edca54b3be916a5c
ALynx.lha	ALynx/ALynx	OK	distinct=18	calls=62	socket,bind,listen,accept,connect,send,recv,getsockname,IoctlSocket,CloseSocket,WaitSelect,Inet_NtoA,inet_addr,Inet_LnaOf,Inet_NetOf,Inet_MakeAddr,gethostbyname,gethostname	scanner=7	comm/net/ALynx.lha	af56ff98fca1d6f3d2b8a1789422259ffe35696114b3bdd798f4328936c7330e
