offset	name	status
-30	socket	USED
-36	bind	USED
-42	listen	USED
-48	accept	USED
-54	connect	USED
-60	sendto	USED
-66	send	USED
-72	recvfrom	USED
-78	recv	USED
-84	shutdown	USED
-90	setsockopt	USED
-96	getsockopt	USED
-102	getsockname	USED
-108	getpeername	USED
-114	IoctlSocket	USED
-120	CloseSocket	USED
-126	WaitSelect	USED
-132	SetSocketSignals	USED
-138	getdtablesize	USED
-144	ObtainSocket	USED
-150	ReleaseSocket	USED
-156	ReleaseCopyOfSocket	USED
-162	Errno	USED
-168	SetErrnoPtr	USED
-174	Inet_NtoA	USED
-180	inet_addr	USED
-186	Inet_LnaOf	USED
-192	Inet_NetOf	USED
-198	Inet_MakeAddr	USED
-204	inet_network	USED
-210	gethostbyname	USED
-216	gethostbyaddr	USED
-222	getnetbyname	USED
-228	getnetbyaddr	USED
-234	getservbyname	USED
-240	getservbyport	USED
-246	getprotobyname	USED
-252	getprotobynumber	USED
-258	vsyslog	USED
-264	Dup2Socket	USED
-270	sendmsg	USED
-276	recvmsg	USED
-282	gethostname	USED
-288	gethostid	USED
-294	SocketBaseTagList	USED
-300	GetSocketEvents	USED
-306	reserved	RESERVED
-312	reserved	RESERVED
-318	reserved	RESERVED
-324	reserved	RESERVED
-330	reserved	RESERVED
-336	reserved	RESERVED
-342	reserved	RESERVED
-348	reserved	RESERVED
-354	reserved	RESERVED
-360	reserved	RESERVED
-366	bpf_open	NO_CALLER
-372	bpf_close	NO_CALLER
-378	bpf_read	USED
-384	bpf_write	NO_CALLER
-390	bpf_set_notify_mask	USED
-396	bpf_set_interrupt_mask	NO_CALLER
-402	bpf_ioctl	NO_CALLER
-408	bpf_data_waiting	NO_CALLER
-414	AddRouteTagList	NO_CALLER
-420	DeleteRouteTagList	NO_CALLER
-426	ChangeRouteTagList	NO_CALLER
-432	FreeRouteInfo	NO_CALLER
-438	GetRouteInfo	NO_CALLER
-444	AddInterfaceTagList	NO_CALLER
-450	ConfigureInterfaceTagList	NO_CALLER
-456	ReleaseInterfaceList	USED
-462	ObtainInterfaceList	USED
-468	QueryInterfaceTagList	USED
-474	CreateAddrAllocMessageA	NO_CALLER
-480	DeleteAddrAllocMessage	NO_CALLER
-486	BeginInterfaceConfig	NO_CALLER
-492	AbortInterfaceConfig	NO_CALLER
-498	AddNetMonitorHookTagList	NO_CALLER
-504	RemoveNetMonitorHook	NO_CALLER
-510	GetNetworkStatistics	NO_CALLER
-516	AddDomainNameServer	NO_CALLER
-522	RemoveDomainNameServer	NO_CALLER
-528	ReleaseDomainNameServerList	NO_CALLER
-534	ObtainDomainNameServerList	NO_CALLER
-540	setnetent	NO_CALLER
-546	endnetent	NO_CALLER
-552	getnetent	USED
-558	setprotoent	NO_CALLER
-564	endprotoent	NO_CALLER
-570	getprotoent	NO_CALLER
-576	setservent	NO_CALLER
-582	endservent	NO_CALLER
-588	getservent	NO_CALLER
-594	inet_aton	USED
-600	inet_ntop	NO_CALLER
-606	inet_pton	USED
-612	In_LocalAddr	NO_CALLER
-618	In_CanForward	NO_CALLER
-624	mbuf_copym	NO_CALLER
-630	mbuf_copyback	NO_CALLER
-636	mbuf_copydata	NO_CALLER
-642	mbuf_free	NO_CALLER
-648	mbuf_freem	NO_CALLER
-654	mbuf_get	NO_CALLER
-660	mbuf_gethdr	NO_CALLER
-666	mbuf_prepend	NO_CALLER
-672	mbuf_cat	NO_CALLER
-678	mbuf_adj	NO_CALLER
-684	mbuf_pullup	NO_CALLER
-690	ProcessIsServer	USED
-696	ObtainServerSocket	NO_CALLER
-702	GetDefaultDomainName	NO_CALLER
-708	SetDefaultDomainName	NO_CALLER
-714	ObtainRoadshowData	NO_CALLER
-720	ReleaseRoadshowData	NO_CALLER
-726	ChangeRoadshowData	NO_CALLER
-732	RemoveInterface	NO_CALLER
-738	gethostbyname_r	NO_CALLER
-744	gethostbyaddr_r	NO_CALLER
-750	reserved	RESERVED
-756	reserved	RESERVED
-762	ipf_open	NO_CALLER
-768	ipf_close	NO_CALLER
-774	ipf_ioctl	NO_CALLER
-780	ipf_log_read	NO_CALLER
-786	ipf_log_data_waiting	NO_CALLER
-792	ipf_set_notify_mask	NO_CALLER
-798	ipf_set_interrupt_mask	NO_CALLER
-804	freeaddrinfo	NO_CALLER
-810	getaddrinfo	NO_CALLER
-816	gai_strerror	NO_CALLER
-822	getnameinfo	USED
-828	reserved	RESERVED
-834	reserved	RESERVED
-840	reserved	RESERVED
-846	reserved	RESERVED
-852	reserved	RESERVED
-858	reserved	RESERVED
-882	if_nametoindex	NO_CALLER
-888	if_indextoname	NO_CALLER
-894	if_nameindex	NO_CALLER
-900	if_freenameindex	NO_CALLER
