directory	scanned	attributed	yield_pct	left
comm/tcp	748	161	21	4
comm/net	341	34	9	0
comm/www	579	24	4	7
comm/misc	666	21	3	1
comm/bbs	721	14	1	1
comm/mail	306	14	4	0
comm/news	77	12	15	1
comm/irc	206	10	4	0
comm/ums	97	7	7	0
comm/amiex	114	3	2	0
comm/uucp	39	3	7	0
comm/cnet	412	2	0	1
comm/fido	241	2	0	0
comm/maxs	285	1	0	3
comm/ambos	162	1	0	0
comm/term	109	1	0	0
dev/gg	24	1	4	0
dev/misc	7	1	14	0
comm/dlg	333	0	0	0
comm/mebbs	92	0	0	0
comm/thor	85	0	0	1
comm/xeno	80	0	0	0
comm/mmgr	77	0	0	0
comm/yam	59	0	0	1
dev/lib	7	0	0	0
demo/intro	6	0	0	0
dev/blitz	5	0	0	0
?	4	0	0	0
dev/basic	4	0	0	0
dev/amos	4	0	0	0
dev/e	3	0	0	0
demo/aga	3	0	0	0
demo/euro	3	0	0	0
demo/40k	3	0	0	0
dev/c	1	0	0	0
dev/hwood	1	0	0	0
demo/sound	1	0	0	0
dev/obero	1	0	0	0
demo/mag	1	0	0	0
